holiday,show_place,类型_剧情,类型_动作,类型_犯罪,类型_悬疑,类型_爱情,类型_科幻,类型_喜剧,类型_冒险,类型_战争,类型_历史,类型_家庭,year,month,weekday,lasting_date,Avg_Review_Length,Weighted_Sentiment_Score,trend_slope,day_0,day_1, day_2, day_3,day_4,day_5,day_6,day_7,res_fc_feature
工作日,中国大陆,1,0,1,0,0,0,0,0,0,0,0,2023,12,4,56,104.62563237774,3.59311316915514,0.0375489533856065,3054.88,6186.64,5258.28,2051.5,2022.57,1594.84,1509.37,2189.16,55350.73
休息日,中国大陆,0,0,0,0,1,1,1,0,0,0,0,2023,12,5,41,75.7214532871972,2.4222783777278,-0.234812362757242,2437.62,1876.74,1163.08,398.85,338.81,293.84,335.95,486.39,6672.5854
工作日,中国大陆,0,0,0,0,1,0,1,0,0,0,0,2017,4,3,31,37.0940170940171,2.08430564151098,0.0,1060.19,1377.24,2233.84,2103.54,1023.91,904.86,988.17,850.15,14308.428
工作日,中国大陆/中国台湾/韩国,1,0,1,1,0,0,0,0,0,0,0,2017,4,4,31,43.0344827586207,2.76360244931052,-2.61682076447296e-17,487.34,375.55,262.84,117.4,80.6,91.91,49.73,1.29,579.0159
工作日,中国大陆,0,0,0,1,0,0,0,0,0,0,0,2017,4,4,34,61.3648881239243,3.28037880905975,0.046647316040172,4554.88,5651.92,5434.47,4073.05,1702.3,1508.58,1399.94,803.3,14606.395
工作日,中国大陆,1,0,0,0,0,0,1,0,0,0,0,2017,4,5,31,38.8370497427101,2.59069814693989,-7.85046229341887e-17,805.64,688.39,666.57,532.79,206.3,185.84,90.68,154.07,604.1136
工作日,中国香港/中国大陆,1,0,0,0,1,0,1,0,0,0,0,2017,4,4,34,62.3501742160279,3.43521217810735,0.0,2995.22,3098.91,2886.92,2114.38,1110.47,946.16,848.37,477.08,5104.751
工作日,中国香港,1,0,0,0,0,0,0,0,0,0,1,2017,4,4,29,71.2068965517241,3.82966641598705,-1.0,87.96,146.82,147.56,94.73,99.44,93.76,71.86,21.61,569.2347
休息日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2023,4,5,29,90.0068965517241,3.54874223542053,0.0576461195555176,376.19,210.23,82.99,73.77,71.36,28.92,39.73,61.44,680.9916
工作日,中国大陆,1,1,0,0,0,0,0,0,0,0,0,2023,4,4,31,56.8447098976109,1.71975185141867,-0.106540698261018,892.61,936.84,436.69,396.65,327.08,220.78,106.15,46.6,1881.5035
工作日,中国大陆,1,1,0,0,0,0,0,0,0,0,0,2023,4,4,84,65.1854419410745,3.22730867328443,-0.438567583088187,7516.51,9867.98,10495.6,10572.73,9044.06,6688.4,2103.59,1473.84,61370.008
休息日,中国大陆,1,0,1,1,0,0,0,0,0,0,0,2023,4,5,53,53.5870307167235,2.57425044647446,-0.094877138137148,2125.43,818.14,756.44,628.57,418.74,230.15,113.95,143.67,7711.5596
工作日,中国大陆,1,0,0,0,0,0,1,0,0,0,0,2023,4,4,83,62.4397283531409,2.59479646356074,-0.168890805323502,3416.2,7999.83,10376.8,13174.51,12095.87,7751.17,3036.66,2462.27,92919.94
休息日,中国大陆,0,0,0,0,0,0,1,1,0,0,0,2023,4,5,60,24.8266897746967,2.34896898269142,0.0255980239149826,908.83,767.62,768.72,684.33,554.4,15.45,8.52,24.07,2282.9968
工作日,中国大陆,1,0,0,0,1,0,0,0,0,0,0,2023,4,4,54,78.2933104631218,2.7941744198995,-0.149633180427895,239.07,329.97,217.15,197.02,182.14,141.37,48.02,26.67,613.9961
